2025-08-01 16:17:46,392 - __main__ - INFO - Reading training data...
2025-08-01 16:20:02,052 - __main__ - INFO - Processed 750 points for пшеница
2025-08-01 16:21:08,388 - __main__ - INFO - Processed 350 points for ячмень
2025-08-01 16:21:17,804 - __main__ - INFO - Processed 50 points for овес
2025-08-01 16:21:17,807 - __main__ - INFO - Training data shape: (1150, 21)
2025-08-01 16:21:17,808 - __main__ - INFO - Training model...
2025-08-01 16:29:40,833 - __main__ - INFO - Reading training data...
2025-08-01 16:29:59,433 - __main__ - WARNING - Invalid values (NaN, inf, or too large) at (6380, 9566): [np.float32(30.096777), np.float32(30.919588), np.float32(-0.8228119), np.float32(13.235907), np.float32(-151.05986), np.float32(0.27167454), np.float32(2279.9507), np.float32(33.31807), np.float32(-inf), np.float32(inf), np.float32(0.0), np.float32(-31.445087), np.float32(inf), np.float32(2153.1733), np.float32(31.381134), np.float32(27.606747), np.float32(3.7743883), np.float32(10.216079), np.float32(-72.87208), np.float32(0.4137382), np.float32(2024.0684)]
2025-08-01 16:30:35,916 - __main__ - WARNING - Invalid values (NaN, inf, or too large) at (8282, 9683): [np.float32(30.57848), np.float32(27.749805), np.float32(2.8286757), np.float32(11.654953), np.float32(-17.938522), np.float32(0.41179803), np.float32(1740.6006), np.float32(33.040665), np.float32(-inf), np.float32(inf), np.float32(0.0), np.float32(-84.43108), np.float32(inf), np.float32(2015.71), np.float32(33.331844), np.float32(28.300537), np.float32(5.031307), np.float32(5.528217), np.float32(-95.564835), np.float32(0.28702638), np.float32(2853.1267)]
2025-08-01 16:30:36,050 - __main__ - WARNING - Invalid values (NaN, inf, or too large) at (8331, 9683): [np.float32(32.278915), np.float32(28.826138), np.float32(3.4527783), np.float32(9.331147), np.float32(74.839615), np.float32(0.3750607), np.float32(2471.3015), np.float32(32.236904), np.float32(-inf), np.float32(inf), np.float32(0.0), np.float32(-134.6484), np.float32(inf), np.float32(1685.4484), np.float32(32.77504), np.float32(31.56068), np.float32(1.2143615), np.float32(14.951066), np.float32(-27.480824), np.float32(0.41371667), np.float32(3623.7317)]
2025-08-01 16:30:36,173 - __main__ - WARNING - Invalid values (NaN, inf, or too large) at (8380, 9683): [np.float32(28.386423), np.float32(32.280296), np.float32(-3.8938746), np.float32(18.725534), np.float32(-29.318703), np.float32(0.21798715), np.float32(2383.705), np.float32(34.272617), np.float32(-inf), np.float32(inf), np.float32(0.0), np.float32(-8.914224), np.float32(inf), np.float32(2677.5723), np.float32(27.063477), np.float32(29.400898), np.float32(-2.3374224), np.float32(33.258247), np.float32(66.52626), np.float32(0.36079746), np.float32(1411.2211)]
2025-08-01 16:30:36,305 - __main__ - WARNING - Invalid values (NaN, inf, or too large) at (8428, 9683): [np.float32(29.673222), np.float32(29.55397), np.float32(0.11925101), np.float32(8.094009), np.float32(-104.236), np.float32(0.20843051), np.float32(1831.8739), np.float32(33.16475), np.float32(-inf), np.float32(inf), np.float32(0.0), np.float32(141.4562), np.float32(inf), np.float32(2075.9387), np.float32(33.417755), np.float32(30.514235), np.float32(2.9035182), np.float32(8.052276), np.float32(-113.600494), np.float32(0.30329683), np.float32(3345.5886)]
2025-08-01 16:30:36,440 - __main__ - WARNING - Invalid values (NaN, inf, or too large) at (8477, 9685): [np.float32(24.744343), np.float32(29.94968), np.float32(-5.2053375), np.float32(12.85475), np.float32(-37.312748), np.float32(0.11802224), np.float32(1296.5444), np.float32(33.96764), np.float32(-inf), np.float32(inf), np.float32(0.0), np.float32(32.257618), np.float32(inf), np.float32(2494.5564), np.float32(29.387136), np.float32(28.514647), np.float32(0.87248904), np.float32(25.150349), np.float32(93.36026), np.float32(0.5163555), np.float32(1583.6466)]
2025-08-01 16:30:36,566 - __main__ - WARNING - Invalid values (NaN, inf, or too large) at (8499, 9700): [np.float32(31.314613), np.float32(31.936098), np.float32(-0.6214848), np.float32(12.751192), np.float32(39.285275), np.float32(0.27383932), np.float32(2962.303), np.float32(33.903), np.float32(-inf), np.float32(inf), np.float32(0.0), np.float32(-99.21174), np.float32(inf), np.float32(2471.7773), np.float32(30.215595), np.float32(33.39019), np.float32(-3.1745954), np.float32(20.29366), np.float32(62.241283), np.float32(0.25992256), np.float32(3244.6985)]
2025-08-01 16:30:36,690 - __main__ - WARNING - Invalid values (NaN, inf, or too large) at (8477, 9744): [np.float32(34.28504), np.float32(34.962254), np.float32(-0.6772101), np.float32(12.382695), np.float32(86.69467), np.float32(0.2545123), np.float32(5919.925), np.float32(33.254013), np.float32(-inf), np.float32(inf), np.float32(0.0), np.float32(74.18706), np.float32(inf), np.float32(2130.1938), np.float32(31.913004), np.float32(32.03405), np.float32(-0.121045396), np.float32(19.609594), np.float32(-14.737783), np.float32(0.4034076), np.float32(3190.906)]
2025-08-01 16:30:37,665 - __main__ - WARNING - Invalid values (NaN, inf, or too large) at (8272, 9730): [np.float32(30.15309), np.float32(26.625452), np.float32(3.5276372), np.float32(5.618106), np.float32(-80.0566), np.float32(0.23773351), np.float32(1501.2128), np.float32(30.46996), np.float32(-inf), np.float32(inf), np.float32(0.0), np.float32(-66.04528), np.float32(inf), np.float32(1119.3767), np.float32(31.674732), np.float32(28.631914), np.float32(3.042817), np.float32(10.029514), np.float32(160.76848), np.float32(0.37082458), np.float32(2206.1267)]
2025-08-01 16:30:38,157 - __main__ - WARNING - Invalid values (NaN, inf, or too large) at (8367, 9764): [np.float32(29.529728), np.float32(29.367868), np.float32(0.1618584), np.float32(9.083266), np.float32(-124.66926), np.float32(0.23280467), np.float32(1766.654), np.float32(36.396507), np.float32(-inf), np.float32(inf), np.float32(0.0), np.float32(77.64136), np.float32(inf), np.float32(4395.713), np.float32(28.450003), np.float32(30.891268), np.float32(-2.4412649), np.float32(18.628407), np.float32(96.20603), np.float32(0.27543348), np.float32(1954.59)]
2025-08-01 16:30:38,279 - __main__ - WARNING - Invalid values (NaN, inf, or too large) at (8364, 9702): [np.float32(27.62585), np.float32(32.400654), np.float32(-4.774802), np.float32(69.19654), np.float32(10.386588), np.float32(0.16912033), np.float32(2319.812), np.float32(35.386547), np.float32(-inf), np.float32(inf), np.float32(0.0), np.float32(-103.50377), np.float32(inf), np.float32(3460.6572), np.float32(27.983452), np.float32(30.833998), np.float32(-2.850546), np.float32(21.40295), np.float32(11.147993), np.float32(0.2815867), np.float32(1846.4312)]
2025-08-01 16:30:38,407 - __main__ - WARNING - Invalid values (NaN, inf, or too large) at (8286, 9705): [np.float32(27.815481), np.float32(31.462496), np.float32(-3.647015), np.float32(6.9352436), np.float32(-98.561714), np.float32(0.09763167), np.float32(2024.6179), np.float32(33.57024), np.float32(-inf), np.float32(inf), np.float32(0.0), np.float32(129.51732), np.float32(inf), np.float32(2276.1755), np.float32(31.093494), np.float32(31.592188), np.float32(-0.4986929), np.float32(16.06159), np.float32(63.73097), np.float32(0.33492312), np.float32(2729.8936)]
